vehicle_id,bus_stop_id,time_of_arrival,time_of_req,direction
6507_490013517S_2020-05-19_outbound_0,490013517S,2020-05-19 17:17:29,2020-05-19 17:03:29.457,outbound
6888_490013517S_2020-05-19_outbound_0,490013517S,2020-05-19 17:23:23,2020-05-19 17:03:29.457,outbound
6893_490014483E_2020-05-19_inbound_0,490014483E,2020-05-19 17:26:30,2020-05-19 17:03:30.001,inbound
7275_490006345E_2020-05-19_outbound_0,490006345E,2020-05-19 17:13:16,2020-05-19 17:03:30.49,outbound
6890_490006345E_2020-05-19_outbound_0,490006345E,2020-05-19 17:19:49,2020-05-19 17:03:30.49,outbound
6139_490013550W_2020-05-19_inbound_0,490013550W,2020-05-19 17:06:46,2020-05-19 17:03:30.941,inbound
6893_490013550W_2020-05-19_inbound_0,490013550W,2020-05-19 17:18:40,2020-05-19 17:03:30.941,inbound
7335_490013517S_2020-05-19_inbound_0,490013517S,2020-05-19 17:09:17,2020-05-19 17:03:32.115,inbound
7442_490013517S_2020-05-19_inbound_0,490013517S,2020-05-19 17:19:59,2020-05-19 17:03:32.115,inbound
7335_490013846N_2020-05-19_inbound_0,490013846N,2020-05-19 17:03:57,2020-05-19 17:03:32.66,inbound
7442_490013846N_2020-05-19_inbound_0,490013846N,2020-05-19 17:15:02,2020-05-19 17:03:32.66,inbound
7275_490002061B_2020-05-19_outbound_0,490002061B,2020-05-19 17:13:51,2020-05-19 17:03:33.189,outbound
6890_490002061B_2020-05-19_outbound_0,490002061B,2020-05-19 17:21:01,2020-05-19 17:03:33.189,outbound
6893_490002061B_2020-05-19_outbound_0,490002061B,2020-05-19 17:03:56,2020-05-19 17:03:33.189,outbound
7335_490G000925_2020-05-19_inbound_0,490G000925,2020-05-19 17:08:25,2020-05-19 17:03:33.755,inbound
7335_490010554S2_2020-05-19_inbound_0,490010554S2,2020-05-19 17:11:59,2020-05-19 17:03:34.207,inbound
5494_490010554S2_2020-05-19_inbound_0,490010554S2,2020-05-19 17:04:24,2020-05-19 17:03:34.207,inbound
7442_490010554S2_2020-05-19_inbound_0,490010554S2,2020-05-19 17:22:38,2020-05-19 17:03:34.207,inbound
7335_490010160E1_2020-05-19_inbound_0,490010160E1,2020-05-19 17:26:42,2020-05-19 17:03:17.287,inbound
7335_490012569E_2020-05-19_inbound_0,490012569E,2020-05-19 17:27:24,2020-05-19 17:03:27.224,inbound
7442_490010068N_2020-05-19_inbound_0,490010068N,2020-05-19 17:28:20,2020-05-19 17:03:28.329,inbound
6139_490013517S_2020-05-19_inbound_0,490013517S,2020-05-19 17:32:14,2020-05-19 17:03:32.115,inbound
6139_490013846N_2020-05-19_inbound_0,490013846N,2020-05-19 17:26:40,2020-05-19 17:03:32.66,inbound
6139_490006614S_2020-05-19_inbound_0,490006614S,2020-05-19 17:27:49,2020-05-19 16:58:55.333,inbound
6139_490G000925_2020-05-19_inbound_0,490G000925,2020-05-19 17:30:54,2020-05-19 17:03:33.755,inbound
7441_490012881S_2020-05-19_outbound_0,490012881S,2020-05-19 17:38:28,2020-05-19 17:30:57.826,outbound
