vehicle_id,bus_stop_name,direction,expected_arrival,timestamp,arrived
14876_490019703E_2020-02-17_0,Aldwych / Drury Lane,1,2020-02-17 22:43:24,2020-02-17 22:42:43,True
14576_490011761M_2020-02-17_0,Kensington Palace,0,2020-02-17 22:54:28,2020-02-17 22:52:37,True
14462_490013766H_2020-02-17_0,Charing Cross Station,0,2020-02-17 22:52:45,2020-02-17 22:52:38,True
14576_490000110B_2020-02-17_0,High Street Kensington Station,0,2020-02-17 22:54:44,2020-02-17 22:54:14,True
14468_490000119M_2020-02-17_0,Hyde Park Corner Station,0,2020-02-17 22:55:40,2020-02-17 22:55:31,True
15457_490007705F_2020-02-17_0,Hammersmith Bus Station,0,2020-02-18 00:21:09,2020-02-17 23:59:24.102000,True
15446_490012247A_2020-02-17_0,Southampton Street / Covent Garden,1,2020-02-17 22:52:36,2020-02-17 22:52:37,True
14462_490013767B_2020-02-17_0,Trafalgar Square,0,2020-02-17 22:56:27,2020-02-17 22:55:36,True
14468_490000130KE_2020-02-17_0,Knightsbridge Station  / Harrods,0,2020-02-17 22:58:21,2020-02-17 22:58:50,True
14462_490000179B_2020-02-17_0,Piccadilly Circus,0,2020-02-17 22:58:02,2020-02-17 22:58:11,True
14576_490003106E_2020-02-17_0,Warwick Gardens,0,2020-02-17 22:57:36,2020-02-17 22:57:32,True
14576_490005528X_2020-02-17_0,The Design Museum,0,2020-02-17 22:56:31,2020-02-17 22:56:54,True
14576_490008652A_2020-02-17_0,Kensington Olympia Station,0,2020-02-17 22:58:30,2020-02-17 22:58:52,True
14576_490010984T_2020-02-17_0,Phillimore Gardens,0,2020-02-17 22:55:28,2020-02-17 22:55:34,True
14468_490011198E_2020-02-17_0,Prince Of Wales Gate,0,2020-02-17 22:59:49,2020-02-17 22:59:32,True
14462_490011515Z_2020-02-17_0,Regent Street / St James's,0,2020-02-17 22:57:07,2020-02-17 22:56:56,True
14468_490011822W_2020-02-17_0,Knightsbridge Barracks,0,2020-02-17 22:59:03,2020-02-17 22:58:54,True
15446_490019703E_2020-02-17_0,Aldwych / Drury Lane,1,2020-02-17 22:54:44,2020-02-17 22:54:19,True
14468_490006691W_2020-02-17_0,Exhibition Road,0,2020-02-17 23:00:07,2020-02-17 23:00:11,True
14576_490010357B_2020-02-17_0,North End Road,0,2020-02-17 22:59:49,2020-02-17 22:59:30,True
14462_490010526G_2020-02-17_0,Old Bond Street / Royal Academy,0,2020-02-17 22:59:16,2020-02-17 22:59:31,True
14876_490003193R_2020-02-17_0,Aldwych / Somerset House,0,2020-02-17 23:00:52,2020-02-17 22:58:50,True
14576_490004455BA_2020-02-17_0,Brook Green,0,2020-02-17 23:00:30,2020-02-17 23:00:50,True
14576_490008990J_2020-02-17_0,Latymer Court,0,2020-02-17 23:00:47,2020-02-17 23:00:51,True
14468_490011750E_2020-02-17_0,Royal Albert Hall,0,2020-02-17 23:00:44,2020-02-17 23:00:52,True
14462_490000093PB_2020-02-17_0,Green Park Station,0,2020-02-17 23:01:08,2020-02-17 23:00:48,True
14576_490007704QA_2020-02-17_0,Hammersmith Broadway,0,2020-02-17 23:02:15,2020-02-17 23:02:09,True
14876_490011938U_2020-02-17_0,Savoy Street,0,2020-02-17 23:00:59,2020-02-17 23:00:53,True
14462_490007492E_2020-02-17_0,Green Park / Constitution Hill,0,2020-02-17 23:01:42,2020-02-17 23:02:09,True
14468_490010728E_2020-02-17_0,Palace Gate,0,2020-02-17 23:01:37,2020-02-17 23:01:32,True
14876_490003112J_2020-02-17_0,Bedford Street,0,2020-02-17 23:01:37,2020-02-17 23:01:28,True
14576_490007705F_2020-02-17_0,Hammersmith Bus Station,0,2020-02-17 23:03:36,2020-02-17 23:03:28,True
14468_490011761M_2020-02-17_0,Kensington Palace,0,2020-02-17 23:03:33,2020-02-17 23:03:31,True
14468_490000110B_2020-02-17_0,High Street Kensington Station,0,2020-02-17 23:05:20,2020-02-17 23:04:47,True
14462_490000119M_2020-02-17_0,Hyde Park Corner Station,0,2020-02-17 23:04:17,2020-02-17 23:03:27,True
14876_490013766H_2020-02-17_0,Charing Cross Station,0,2020-02-17 23:02:25,2020-02-17 23:02:52,True
15450_490000093PB_2020-02-17_0,Green Park Station,1,2020-02-18 00:28:40,2020-02-17 23:59:22.093000,True
15450_490000110B_2020-02-17_0,High Street Kensington Station,1,2020-02-17 23:54:43,2020-02-17 23:54:56,True
15450_490000119M_2020-02-17_0,Hyde Park Corner Station,1,2020-02-18 00:24:15,2020-02-17 23:59:22.611000,True
15450_490000179B_2020-02-17_0,Piccadilly Circus,1,2020-02-18 00:09:28,2020-02-17 23:49:08,True
15450_490003106E_2020-02-17_0,Warwick Gardens,1,2020-02-17 23:52:55,2020-02-17 23:53:02,True
15450_490004455BA_2020-02-17_0,Brook Green,1,2020-02-17 23:50:24,2020-02-17 23:50:30,True
15450_490005528X_2020-02-17_0,The Design Museum,1,2020-02-17 23:53:26,2020-02-17 23:53:42,True
15450_490007960R_2020-02-17_0,Haymarket / Jermyn Street,1,2020-02-18 00:11:22,2020-02-17 23:49:09,True
15450_490008287E_2020-02-17_0,Holland Road,1,2020-02-17 23:52:22,2020-02-17 23:52:26,True
15450_490008652A_2020-02-17_0,Kensington Olympia Station,1,2020-02-17 23:51:19,2020-02-17 23:51:48,True
15450_490000130KE_2020-02-17_0,Knightsbridge Station  / Harrods,1,2020-02-18 00:21:59,2020-02-17 23:59:24.711000,True
15450_490008990J_2020-02-17_0,Latymer Court,1,2020-02-17 23:49:44,2020-02-17 23:49:53,True
15450_490010357B_2020-02-17_0,North End Road,1,2020-02-17 23:50:45,2020-02-17 23:51:10,True
15450_490010574C_2020-02-17_0,Old Park Lane / Hard Rock Cafe,1,2020-02-18 00:25:56,2020-02-17 23:59:25.283000,True
15450_490010728E_2020-02-17_0,Palace Gate,1,2020-02-17 23:56:47,2020-02-17 23:56:53,True
14468_490010984T_2020-02-17_0,Phillimore Gardens,0,2020-02-17 23:05:43,2020-02-17 23:06:10,True
15450_490010984T_2020-02-17_0,Phillimore Gardens,1,2020-02-17 23:54:05,2020-02-17 23:54:21,True
15450_490011198E_2020-02-17_0,Prince Of Wales Gate,1,2020-02-18 00:20:38,2020-02-17 23:59:25.798000,True
15450_490011334E1_2020-02-17_0,Queen's Gate,1,2020-02-18 00:18:29,2020-02-17 23:59:25.984000,True
15450_490010526G_2020-02-17_0,Old Bond Street / Royal Academy,1,2020-02-18 00:08:33,2020-02-17 23:49:11,True
15450_490011750E_2020-02-17_0,Royal Albert Hall,1,2020-02-18 00:19:22,2020-02-17 23:59:26.278000,True
15450_490011761M_2020-02-17_0,Kensington Palace,1,2020-02-17 23:56:07,2020-02-17 23:56:16,True
15450_490011822E_2020-02-17_0,Rutland Gardens,1,2020-02-18 00:21:17,2020-02-17 23:59:26.624000,True
15450_490013766E_2020-02-17_0,Charing Cross Stn / Trafalgar Square,1,2020-02-18 00:14:30,2020-02-17 23:49:12,True
15450_490013767B_2020-02-17_0,Trafalgar Square,1,2020-02-18 00:12:30,2020-02-17 23:49:12,True
14876_490013767B_2020-02-17_0,Trafalgar Square,0,2020-02-17 23:04:23,2020-02-17 23:04:11,True
14462_490000130KE_2020-02-17_0,Knightsbridge Station  / Harrods,0,2020-02-17 23:06:19,2020-02-17 23:06:07,True
14468_490005528X_2020-02-17_0,The Design Museum,0,2020-02-17 23:06:42,2020-02-17 23:06:47,True
15450_490012247A_2020-02-17_0,Southampton Street / Covent Garden,1,2020-02-18 00:16:09,2020-02-17 23:49:12,True
14468_490003106E_2020-02-17_0,Warwick Gardens,0,2020-02-17 23:07:36,2020-02-17 23:07:25,True
15457_490007705F_2020-02-17_0,Hammersmith Bus Station,1,2020-02-17 23:07:42,2020-02-17 23:08:05,True
14462_490011822W_2020-02-17_0,Knightsbridge Barracks,0,2020-02-17 23:06:44,2020-02-17 23:06:50,True
14468_490008652A_2020-02-17_0,Kensington Olympia Station,0,2020-02-17 23:08:28,2020-02-17 23:08:44,True
14462_490011198E_2020-02-17_0,Prince Of Wales Gate,0,2020-02-17 23:07:24,2020-02-17 23:07:28,True
14876_490011515Z_2020-02-17_0,Regent Street / St James's,0,2020-02-17 23:05:26,2020-02-17 23:05:32,True
14462_490006691W_2020-02-17_0,Exhibition Road,0,2020-02-17 23:08:29,2020-02-17 23:08:04,True
15457_490008990J_2020-02-17_0,Latymer Court,1,2020-02-17 23:09:24,2020-02-17 23:09:24,True
14468_490010357B_2020-02-17_0,North End Road,0,2020-02-17 23:09:54,2020-02-17 23:09:24,True
14876_490000179B_2020-02-17_0,Piccadilly Circus,0,2020-02-17 23:06:59,2020-02-17 23:06:46,True
15457_490004455BA_2020-02-17_0,Brook Green,1,2020-02-17 23:10:08,2020-02-17 23:09:22,True
15457_490010357B_2020-02-17_0,North End Road,1,2020-02-17 23:10:07,2020-02-17 23:10:16,True
14876_490010526G_2020-02-17_0,Old Bond Street / Royal Academy,0,2020-02-17 23:08:28,2020-02-17 23:06:48,True
14462_490011750E_2020-02-17_0,Royal Albert Hall,0,2020-02-17 23:09:28,2020-02-17 23:09:25,True
15450_490019703E_2020-02-17_0,Aldwych / Drury Lane,1,2020-02-18 00:18:05,2020-02-17 23:49:13,True
14876_490000093PB_2020-02-17_0,Green Park Station,0,2020-02-17 23:08:41,2020-02-17 23:08:42,True
15457_490003106E_2020-02-17_0,Warwick Gardens,1,2020-02-17 23:12:22,2020-02-17 23:12:28,True
15446_490003112J_2020-02-17_0,Bedford Street,0,2020-02-17 23:12:14,2020-02-17 23:12:29,True
15446_490003193R_2020-02-17_0,Aldwych / Somerset House,0,2020-02-17 23:11:10,2020-02-17 23:10:13,True
14468_490004455BA_2020-02-17_0,Brook Green,0,2020-02-17 23:10:51,2020-02-17 23:11:08,True
14876_490007492E_2020-02-17_0,Green Park / Constitution Hill,0,2020-02-17 23:10:09,2020-02-17 23:10:14,True
14468_490007704QA_2020-02-17_0,Hammersmith Broadway,0,2020-02-17 23:12:18,2020-02-17 23:12:35,True
15457_490008287E_2020-02-17_0,Holland Road,1,2020-02-17 23:11:48,2020-02-17 23:11:12,True
15457_490008652A_2020-02-17_0,Kensington Olympia Station,1,2020-02-17 23:11:01,2020-02-17 23:11:13,True
14468_490008990J_2020-02-17_0,Latymer Court,0,2020-02-17 23:11:10,2020-02-17 23:11:16,True
14462_490010728E_2020-02-17_0,Palace Gate,0,2020-02-17 23:10:07,2020-02-17 23:09:24,True
14462_490011761M_2020-02-17_0,Kensington Palace,0,2020-02-17 23:11:02,2020-02-17 23:10:24,True
15446_490011938U_2020-02-17_0,Savoy Street,0,2020-02-17 23:11:50,2020-02-17 23:11:32,True
